countries,total_collected_msw_(t),food,garden,paper,plastic,glass,metal,rubber_and_leather,textile,other,scenario,co₂_emissions_reduction_potential
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,Compost organics,-0.4680686249971106
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,Digest organics,-0.4680686249971106
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,Retrofit landfill,-0.4630885023675618
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,Half waste,-0.5
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,Compost + retrofit,-0.6743535033244792
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,Digest + retrofit,-0.6743535033244792
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,All strategies (C),-0.8371767516622396
Algeria,9372439.48813977,54.4,1.5,9.8,16.9,1.2,2.8,12.6,0.0,0.8,All strategies (D),-0.8371767516622396
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,Compost organics,-0.4938312810045089
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,Digest organics,-0.4938312810045089
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,Retrofit landfill,-0.2575658275272015
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,Half waste,-0.5
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,Compost + retrofit,-0.6233868922506913
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,Digest + retrofit,-0.6233868922506913
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,All strategies (C) ,-0.8116934461253457
Argentina,17950901.66801627,38.74,11.04,13.96,14.61,3.16,1.84,1.26,0.0,15.36,All strategies (D),-0.8116934461253457
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,Compost organics,-0.4839454034902841
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,Digest organics,-0.4839454034902841
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,Retrofit landfill,0.0
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,Half waste,-0.5
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,Compost + retrofit,-0.4839454034902841
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,Digest + retrofit,-0.4839454034902841
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,All strategies (C),-0.7419727017451421
Australia,13263162.027051564,48.44,0.0,17.3,7.61,3.81,19.38,0.0,0.0,3.46,All strategies (D),-0.7419727017451421
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,Compost organics,-0.4423010575290348
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,Digest organics,-0.4423010575290348
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,Retrofit landfill,-0.5575816523105386
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,Half waste,-0.5
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,Compost + retrofit,-0.5575816523105386
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,Digest + retrofit,-0.5575816523105386
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,All strategies (C) ,-0.7787908261552693
Bangladesh,6311868.27870832,77.7,2.72,4.94,7.35,0.0,0.44,0.0,2.0,4.8,All strategies (D),-0.7787908261552693
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,Compost organics,-0.2596237290544551
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,Digest organics,-0.2596237290544551
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,Retrofit landfill,-0.5051045312343486
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,Half waste,-0.5
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,Compost + retrofit,-0.5051045312343486
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,Digest + retrofit,-0.5051045312343486
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,All strategies (C),-0.7525522656171744
Brazil,57649528.020794414,51.4,0.0,13.1,13.5,2.4,2.9,0.0,0.0,16.7,All strategies (D),-0.7525522656171744
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Compost organics,-0.4158997908963845
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Digest organics,-0.4158997908963845
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Retrofit landfill,-0.1438251278229429
